"TIME","GEO","INDIC_MD","Value","Flag and Footnotes"
"2006","Algeria","Unemployment rate, male (%)","11.8","i"
"2006","Algeria","Unemployment rate, female (%)","14.4","i"
"2006","Algeria","Unemployment rate, total (%)","12.3","i"
"2006","Algeria","Youth unemployment rate, male (%)","22.9","i"
"2006","Algeria","Youth unemployment rate, female (%)","31.4","i"
"2006","Egypt","Unemployment rate, male (%)","6.8",""
"2006","Egypt","Unemployment rate, female (%)","24.0",""
"2006","Egypt","Unemployment rate, total (%)","10.6",""
"2006","Egypt","Youth unemployment rate, male (%)","20.6",""
"2006","Egypt","Youth unemployment rate, female (%)","55.2",""
"2006","Libya","Unemployment rate, male (%)",":",""
"2006","Libya","Unemployment rate, female (%)",":",""
"2006","Libya","Unemployment rate, total (%)",":",""
"2006","Libya","Youth unemployment rate, male (%)",":",""
"2006","Libya","Youth unemployment rate, female (%)",":",""
"2006","Morocco","Unemployment rate, male (%)","9.7",""
"2006","Morocco","Unemployment rate, female (%)","9.7",""
"2006","Morocco","Unemployment rate, total (%)","9.7",""
"2006","Morocco","Youth unemployment rate, male (%)","17.5",""
"2006","Morocco","Youth unemployment rate, female (%)","14.1",""
"2006","Tunisia","Unemployment rate, male (%)","13.2",""
"2006","Tunisia","Unemployment rate, female (%)","17.3",""
"2006","Tunisia","Unemployment rate, total (%)","14.3",""
"2006","Tunisia","Youth unemployment rate, male (%)","31.6",""
"2006","Tunisia","Youth unemployment rate, female (%)","30.2",""
"2006","Israel","Unemployment rate, male (%)","8.0",""
"2006","Israel","Unemployment rate, female (%)","9.1",""
"2006","Israel","Unemployment rate, total (%)","8.5",""
"2006","Israel","Youth unemployment rate, male (%)","17.3",""
"2006","Israel","Youth unemployment rate, female (%)","19.1",""
"2006","Jordan","Unemployment rate, male (%)","11.9",""
"2006","Jordan","Unemployment rate, female (%)","25.0",""
"2006","Jordan","Unemployment rate, total (%)","14.0",""
"2006","Jordan","Youth unemployment rate, male (%)","35.4",""
"2006","Jordan","Youth unemployment rate, female (%)","40.4",""
"2006","Lebanon","Unemployment rate, male (%)",":",""
"2006","Lebanon","Unemployment rate, female (%)",":",""
"2006","Lebanon","Unemployment rate, total (%)",":",""
"2006","Lebanon","Youth unemployment rate, male (%)",":",""
"2006","Lebanon","Youth unemployment rate, female (%)",":",""
"2006","Palestine","Unemployment rate, male (%)","24.4",""
"2006","Palestine","Unemployment rate, female (%)","20.5",""
"2006","Palestine","Unemployment rate, total (%)","23.7",""
"2006","Palestine","Youth unemployment rate, male (%)","34.5",""
"2006","Palestine","Youth unemployment rate, female (%)","43.1",""
"2006","Syria","Unemployment rate, male (%)",":",""
"2006","Syria","Unemployment rate, female (%)",":",""
"2006","Syria","Unemployment rate, total (%)","8.1","e"
"2006","Syria","Youth unemployment rate, male (%)",":",""
"2006","Syria","Youth unemployment rate, female (%)",":",""
"2007","Algeria","Unemployment rate, male (%)","12.8","i"
"2007","Algeria","Unemployment rate, female (%)","18.3","i"
"2007","Algeria","Unemployment rate, total (%)","13.8","i"
"2007","Algeria","Youth unemployment rate, male (%)","25.4","i"
"2007","Algeria","Youth unemployment rate, female (%)","40.2","i"
"2007","Egypt","Unemployment rate, male (%)","5.9",""
"2007","Egypt","Unemployment rate, female (%)","18.6",""
"2007","Egypt","Unemployment rate, total (%)","8.9",""
"2007","Egypt","Youth unemployment rate, male (%)","17.2",""
"2007","Egypt","Youth unemployment rate, female (%)","47.9",""
"2007","Libya","Unemployment rate, male (%)",":",""
"2007","Libya","Unemployment rate, female (%)",":",""
"2007","Libya","Unemployment rate, total (%)",":",""
"2007","Libya","Youth unemployment rate, male (%)",":",""
"2007","Libya","Youth unemployment rate, female (%)",":",""
"2007","Morocco","Unemployment rate, male (%)","9.8",""
"2007","Morocco","Unemployment rate, female (%)","9.8",""
"2007","Morocco","Unemployment rate, total (%)","9.8",""
"2007","Morocco","Youth unemployment rate, male (%)","17.9",""
"2007","Morocco","Youth unemployment rate, female (%)","15.5",""
"2007","Tunisia","Unemployment rate, male (%)","12.8",""
"2007","Tunisia","Unemployment rate, female (%)","17.8",""
"2007","Tunisia","Unemployment rate, total (%)","14.1",""
"2007","Tunisia","Youth unemployment rate, male (%)","31.6",""
"2007","Tunisia","Youth unemployment rate, female (%)","30.9",""
